symbol,isin,name,market
ALMIL,FR0010285965,1000MERCIS,Euronext Growth Paris
2CRSI,FR0013341781,2CRSI,Euronext Paris
2MX,FR0014000T90,2MX ORGANIC,Euronext Paris
2MXBS,FR0014000TB2,2MX ORGANIC BS,Euronext Paris
5PG,DK0060945467,5TH PLANET GAMES,Euronext Expand Oslo
MLATV,FR0010050773,A TOUTE VITESSE,Euronext Access Paris
ASP,FR0000076887,A.S.T. GROUPE,Euronext Paris
AALB,NL0000852564,AALBERTS NV,Euronext Amsterdam
AASB,NO0010672181,AASEN SPAREBANK,Euronext Growth Oslo
ABI,BE0974293251,AB INBEV,Euronext Brussels
AB,FR0010557264,AB SCIENCE,Euronext Paris
ABCA,FR0004040608,ABC ARBITRAGE,Euronext Paris
ABEO,FR0013185857,ABEO,Euronext Paris
ABNX,FR0012616852,ABIONYX PHARMA,Euronext Paris
ABVX,FR0012333284,ABIVAX,Euronext Paris
ABN,NL0011540547,ABN AMRO BANK N.V.,Euronext Amsterdam
ABO,BE0974278104,ABO GROUP,Euronext Brussels
ACPH,GB00BYWF9Y76,ACACIA PHARMA,Euronext Brussels
ACAN,FR0000064602,ACANTHE DEV.,Euronext Paris
ACCEL,NL0009767532,ACCELL GROUP,Euronext Amsterdam
ACCB,BE0003696102,ACCENTIS,Euronext Brussels
AC,FR0000120404,ACCOR,Euronext Paris
AAC,FR0014003PZ3,ACCOR AC SHARES,Euronext Paris
AACW,FR0014003QK3,ACCOR AC WARRANTS,Euronext Paris
AXS,GB00BQQFX454,ACCSYS,Euronext Amsterdam
ALALO,FR0010493510,ACHETER-LOUER.FR,Euronext Growth Paris
ACKB,BE0003764785,ACKERMANS V.HAAREN,Euronext Brussels
EOS,FR0000076861,ACTEOS,Euronext Paris
ATI,FR0000076655,ACTIA GROUP,Euronext Paris
ALACT,FR0014005OJ5,ACTICOR BIOTECH,Euronext Growth Paris
MLACT,FR0010979377,ACTIVIUM GROUP,Euronext Access Paris
ALADA,FR0000053076,ADA,Euronext Growth Paris
ALDV,BE0974269012,ADC SIIC,Euronext Paris
ALARF,FR0013284627,ADEUNIS,Euronext Growth Paris
ADOC,FR0011184241,ADOCIA,Euronext Paris
ALADO,FR0013247244,ADOMOS,Euronext Growth Paris
ADP,FR0010340141,ADP,Euronext Paris
ADS,CY0108052115,ADS MARITIME HOLD,Euronext Growth Oslo
ALADM,FR0010457531,ADTHINK,Euronext Growth Paris
ADUX,FR0012821890,ADUX,Euronext Paris
ALADV,FR0004152874,ADVENIS,Euronext Growth Paris
ADVIC,FR0013296746,ADVICENNE,Euronext Paris
ADVI,FR0000053043,ADVINI,Euronext Paris
ADYEN,NL0012969182,ADYEN,Euronext Amsterdam
AED,BE0003851681,AEDIFICA,Euronext Brussels
AEGA,NO0010626559,AEGA,Euronext Expand Oslo
AGN,NL0000303709,AEGON,Euronext Amsterdam
AKOM,US00774B2088,AERKOMM INC,Euronext Paris
AFME,FR0013333077,AFFLUENT MEDICAL,Euronext Paris
ALAFY,FR0014005AC9,AFYREN,Euronext Growth Paris
MLAGI,FR0011908045,AG3I,Euronext Access Paris
AGS,BE0974264930,AGEAS,Euronext Brussels
MLAA,FR0014005WE9,AGENCE AUTO,Euronext Access Paris
AGFB,BE0003755692,AGFA-GEVAERT,Euronext Brussels
AGLX,NO0010872468,AGILYX,Euronext Growth Oslo
MLAGP,ES0105478004,AGP MALAGA SOCIMI,Euronext Access Paris
ALAGP,FR0013452281,AGRIPOWER,Euronext Growth Paris
ALAGR,FR0010641449,AGROGENERATION,Euronext Growth Paris
CUR,PTCUR0AP0000,AGUAS DA CURIA,Euronext Access Lisbon
AD,NL0011794037,AHOLD DEL,Euronext Amsterdam
A5G,IE00BF0L3536,AIB GROUP PLC,Euronext Dublin
