,symbol,name,isin,sector,industry,country,exchange
0,2CRSI.PA,2CRSI,,,,,Euronext Paris
1,2MX.PA,2MX ORGANIC,,,,,Euronext Paris
2,3IN.L,3i Infrastructure plc,,,,,
3,AADR,,US00768Y2063,,,,
4,AAF,,INE322R01014,,,,
5,AALB,AALBERTS NV,INE717E01013,,,,Euronext Amsterdam
6,AAXJ,,US4642881829,,,,
7,ABCA,ABC ARBITRAGE,DK0000ABA001,,,,Euronext Paris
8,ABO,ABO GROUP,BE0974278104,,,,Euronext Brussels
9,ACABU,,AU000000CLZ3,,,,
10,ACCB,ACCENTIS,BE0003696102,,,,Euronext Brussels
11,ACCEL,ACCELL GROUP,INE020G01017,,,,Euronext Amsterdam
12,ACEVW,,INE715F01014,,,,
13,ACKB,ACKERMANS V.HAAREN,JP3121120004,,,,Euronext Brussels
14,ACKIT,,US00461L3033,,,,
15,ACKIU,,US00461L2043,,,,
16,ACOMO,AMSTERDAM COMMOD.,JP3161290006,,,,Euronext Amsterdam
17,ACWI,,US4642882579,,,,
18,ACWX,,US4642882405,,,,
19,ADRE,,US46090C3051,,,,
20,ADUX,ADUX,DE00AUX00000,,,,Euronext Paris
21,ADVI,ADVINI,FR0000053043,,,,Euronext Paris
22,ADVIC,ADVICENNE,FR0013296746,,,,Euronext Paris
23,ADYEN,ADYEN,JP3122380003,,,,Euronext Amsterdam
24,AEACW,,DE000A1MMEV4,,,,
25,AEGA,AEGA,SE0014401121,,,,Euronext Expand Oslo
26,AFISH,ARCTIC FISH HOLDIN,INE011R01013,,,,Euronext Growth Oslo
27,AGN,AEGON,JP3780150003,,,,Euronext Amsterdam
28,AIA,,US4642884302,,,,
29,AIRR,,US33738R7044,,,,
30,AIRX,AIRTHINGS,GB0008123027,,,,Euronext Growth Oslo
31,AJAX,AJAX,INE031B01049,,,,Euronext Amsterdam
32,AJB,,INE229B01015,,,,
33,AKE,ARKEMA,NO0010936081,,,,Euronext Paris
34,AKICW,,GB00BYV31355,,,,
35,AKW,AKWEL,DE000A3CSTW4,,,,Euronext Paris
36,AKZA,AKZO NOBEL,FR0004180537,,,,Euronext Amsterdam
37,ALACT,ACTICOR BIOTECH,AU000000AQG6,,,,Euronext Growth Paris
38,ALADA,ADA,INE243E01010,,,,Euronext Growth Paris
39,ALALO,ACHETER-LOUER.FR,NET00AVA1230,,,,Euronext Growth Paris
40,ALAMA,AMA CORPORATION,SA12CG541C16,,,,Euronext Growth Paris
41,ALAUD,AUDACIA,FI0009001127,,,,Euronext Growth Paris
42,ALBI,GASCOGNE,GB00B1G3LR35,,,,Euronext Growth Paris
43,ALBIO,BIOSYNEX,FR0012332864,,,,Euronext Growth Paris
44,ALBOA,BOA CONCEPT,DE0006209901,,,,Euronext Growth Paris
45,ALBOO.PA,BOOSTHEAT,GB0004832472,,,,Euronext Growth Paris
46,ALCES,CESAR,GB00BGQVB052,,,,Euronext Growth Paris
47,ALCHI,ALCHIMIE,FR0014000JX7,,,,Euronext Growth Paris
48,ALCOR,BIOCORP,JP3126210008,,,,Euronext Growth Paris
49,ALCUR,ARCURE,FR0013398997,,,,Euronext Growth Paris
50,ALD,ALD,US97717X8424,,,,Euronext Paris
51,ALDAR,DAMARTEX,INE673E01018,,,,Euronext Growth Paris
52,ALDEL,DELFINGEN,DK0060299063,,,,Euronext Growth Paris
53,ALDEV,DEVERNOIS,CH0006668930,,,,Euronext Growth Paris
